"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"M5AD 16xlarge","m5ad.16xlarge","256.0 GiB","0 units","64 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","2400 GiB               (4 * 600 GiB NVMe SSD)","Yes","Yes","64-bit","12 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","$3.296000 hourly","$2.076000 hourly","$3.426 hourly","$2.206 hourly","$3.446 hourly","$2.136 hourly","$6.240000 hourly","$5.020000 hourly","$7.322 hourly","$6.102 hourly","$13.92 hourly","$12.7 hourly","$30.24 hourly","$29.02 hourly","$4.378 hourly","$3.158 hourly","$10.976 hourly","$9.756 hourly","$27.296 hourly","$26.076 hourly","0","unavailable"
"M5DN Double Extra Large","m5dn.2xlarge","32.0 GiB","0 units","8 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","300 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","60","4","No","Yes","Yes","No","Unknown","No","$0.544000 hourly","$0.343000 hourly","$0.674 hourly","$0.473 hourly","unavailable","unavailable","$0.912000 hourly","$0.711000 hourly","$1.047 hourly","$0.846 hourly","$1.872 hourly","$1.671 hourly","$3.912 hourly","$3.711 hourly","$0.679 hourly","$0.478 hourly","$1.504 hourly","$1.303 hourly","$3.544 hourly","$3.343 hourly","0","unavailable"
"I3 High I/O Double Extra Large","i3.2xlarge","61.0 GiB","31 units","8 vCPUs","0","None","0 GiB","0","0","3.875 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","1900 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","1700.0 Mbps","212.5 Mbps","12000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.624000 hourly","$0.428000 hourly","$0.754 hourly","$0.558 hourly","$0.724 hourly","$0.461 hourly","$0.992000 hourly","$0.796000 hourly","$1.133 hourly","$0.937 hourly","$1.952 hourly","$1.756 hourly","$3.992 hourly","$3.796 hourly","$0.759 hourly","$0.564 hourly","$1.584 hourly","$1.388 hourly","$3.624 hourly","$3.428 hourly","0","$0.156 hourly"
"C6GN Double Extra Large","c6gn.2xlarge","16.0 GiB","0 units","8 vCPUs","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$0.345600 hourly","$0.218130 hourly","$0.4756 hourly","$0.34813 hourly","$0.4956 hourly","$0.27813 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C5A 12xlarge","c5a.12xlarge","96.0 GiB","0 units","48 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","12 Gigabit","4750.0 Mbps","594.0 Mbps","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$1.848000 hourly","$1.164000 hourly","$1.978 hourly","$1.294 hourly","$1.998 hourly","$1.224 hourly","$4.056000 hourly","$3.372000 hourly","$4.867 hourly","$4.183 hourly","$9.816 hourly","$9.132 hourly","$22.056 hourly","$21.372 hourly","$2.659 hourly","$1.975 hourly","$7.608 hourly","$6.924 hourly","$19.848 hourly","$19.164 hourly","0","unavailable"
"G3 Quadruple Extra Large","g3.4xlarge","122.0 GiB","58 units","16 vCPUs","1","NVIDIA Tesla M60","8 GiB","5.2","0","3.625 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 Mbps","20000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1.140000 hourly","$0.778100 hourly","$1.27 hourly","$0.9081 hourly","$1.24 hourly","$0.8111 hourly","$1.876000 hourly","$1.514100 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.270 hourly"
"R5DN 24xlarge","r5dn.24xlarge","768.0 GiB","0 units","96 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","3600 GiB               (4 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","100 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","No","Yes","Yes","No","Unknown","No","$8.016000 hourly","$5.050000 hourly","$8.146 hourly","$5.18 hourly","unavailable","unavailable","$12.432000 hourly","$9.466000 hourly","$14.054 hourly","$11.088 hourly","$23.952 hourly","$20.986 hourly","$48.432 hourly","$45.466 hourly","$9.638 hourly","$6.672 hourly","$19.536 hourly","$16.57 hourly","$44.016 hourly","$41.05 hourly","0","unavailable"
"R5DN Double Extra Large","r5dn.2xlarge","64.0 GiB","0 units","8 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","300 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","60","4","No","Yes","Yes","No","Unknown","No","$0.668000 hourly","$0.421000 hourly","$0.798 hourly","$0.551 hourly","unavailable","unavailable","$1.036000 hourly","$0.789000 hourly","$1.171 hourly","$0.924 hourly","$1.996 hourly","$1.749 hourly","$4.036 hourly","$3.789 hourly","$0.803 hourly","$0.556 hourly","$1.628 hourly","$1.381 hourly","$3.668 hourly","$3.421 hourly","0","unavailable"
"G2 Eight Extra Large","g2.8xlarge","60.0 GiB","104 units","32 vCPUs","4","NVIDIA GRID K520","32 GiB","3.0","0","3.25 units","Intel Xeon E5-2670 (Sandy Bridge)","2.6 GHz","Yes","unknown","unknown","Yes","240 GiB               (2 * 120 GiB SSD)","No","No","64-bit","High","N/A","0 Mbps","0 IOPS","No","240","8","No","No","No","No","Unknown","No","$2.600000 hourly","$1.896000 hourly","$2.73 hourly","$2.026 hourly","$2.7 hourly","$1.933 hourly","$2.878000 hourly","$1.979000 hourly","unavailable","unavailable","unavailable","unavailable","$16.072 hourly","$15.369 hourly","unavailable","unavailable","unavailable","unavailable","$14.6 hourly","$13.702 hourly","unavailable","unavailable"
"I3 High I/O Quadruple Extra Large","i3.4xlarge","122.0 GiB","58 units","16 vCPUs","0","None","0 GiB","0","0","3.625 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","3800 GiB               (2 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 Mbps","16000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1.248000 hourly","$0.857000 hourly","$1.378 hourly","$0.987 hourly","$1.348 hourly","$0.89 hourly","$1.984000 hourly","$1.593000 hourly","$2.266 hourly","$1.875 hourly","$3.904 hourly","$3.513 hourly","$7.984 hourly","$7.593 hourly","$1.518 hourly","$1.127 hourly","$3.168 hourly","$2.777 hourly","$7.248 hourly","$6.857 hourly","0","$0.270 hourly"
"T3A Small","t3a.small","2.0 GiB","Base performance:                 40%","2 vCPUs                                                   for a                 4h 48m                 burst","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","2085.0 Mbps","260.57 Mbps","11800.0 IOPS","Yes","8","2","Yes","Yes","Yes","No","Unknown","No","$0.018800 hourly","$0.011800 hourly","$0.0788 hourly","$0.0718 hourly","$0.0498 hourly","$0.0248 hourly","$0.037200 hourly","$0.030200 hourly","$0.1048 hourly","$0.0978 hourly","unavailable","unavailable","unavailable","unavailable","$0.0864 hourly","$0.0794 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R3 High-Memory Quadruple Extra Large","r3.4xlarge","122.0 GiB","52 units","16 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","320 GiB               SSD","Yes","Yes","64-bit","High","2000.0 Mbps","250.0 Mbps","16000.0 IOPS","No","240","8","Yes","No","Yes","No","HVM","Yes","$1.330000 hourly","$0.836000 hourly","$1.46 hourly","$0.966 hourly","$1.43 hourly","$0.869 hourly","$1.944000 hourly","$1.490000 hourly","$2.295 hourly","$1.617 hourly","$4.585 hourly","$4.041 hourly","$8.066 hourly","$7.579 hourly","$1.598 hourly","$1.024 hourly","$3.248 hourly","$2.673 hourly","$7.328 hourly","$6.753 hourly","0","$0.270 hourly"
"M1 General Purpose Large","m1.large","7.5 GiB","4 units","2 vCPUs","0","None","0 GiB","0","0","2 units","Intel Xeon Family","unknown","unknown","unknown","unknown","unknown","840 GiB               (2 * 420 GiB HDD)","No","N/A","64-bit","Moderate","500.0 Mbps","62.5 Mbps","4000.0 IOPS","No","30","3","No","No","No","No","PV","Yes","$0.175000 hourly","$0.112000 hourly","$0.235 hourly","$0.172 hourly","$0.275 hourly","$0.148 hourly","$0.299000 hourly","$0.232000 hourly","$0.435 hourly","$0.284 hourly","$0.955 hourly","$0.665 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.044 hourly"
"C5AD Extra Large","c5ad.xlarge","8.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","150 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3170.0 Mbps","396.0 Mbps","13300.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$0.172000 hourly","$0.108000 hourly","$0.232 hourly","$0.168 hourly","$0.297 hourly","$0.158 hourly","$0.356000 hourly","$0.292000 hourly","$0.424 hourly","$0.36 hourly","$0.836 hourly","$0.772 hourly","$1.856 hourly","$1.792 hourly","$0.24 hourly","$0.176 hourly","$0.652 hourly","$0.588 hourly","$1.672 hourly","$1.608 hourly","0","unavailable"
"M2 High Memory Quadruple Extra Large","m2.4xlarge","68.4 GiB","26 units","8 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon Family","unknown","unknown","unknown","unknown","unknown","1680 GiB               (2 * 840 GiB HDD)","No","N/A","64-bit","High","1000.0 Mbps","125.0 Mbps","8000.0 IOPS","No","240","8","No","No","No","No","PV","Yes","$0.980000 hourly","$0.444000 hourly","$1.11 hourly","$0.574 hourly","$1.08 hourly","$0.48 hourly","$1.380000 hourly","$0.991000 hourly","$1.7 hourly","$1.245 hourly","$2.976 hourly","$1.887 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.246 hourly"
"INF1 Double Extra Large","inf1.2xlarge","16.0 GiB","0 units","8 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8275CL (Cascade Lake)","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","40","4","No","Yes","Yes","No","Unknown","No","$0.584000 hourly","$0.368000 hourly","$0.714 hourly","$0.498 hourly","$0.734 hourly","$0.428 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.719 hourly","$0.503 hourly","$1.544 hourly","$1.328 hourly","$3.584 hourly","$3.368 hourly","0","unavailable"
"R3 High-Memory Eight Extra Large","r3.8xlarge","244.0 GiB","104 units","32 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","640 GiB               (2 * 320 GiB SSD)","Yes","Yes","64-bit","10 Gigabit","N/A","0 Mbps","0 IOPS","No","240","8","Yes","No","Yes","No","HVM","Yes","$2.660000 hourly","$1.672000 hourly","$2.79 hourly","$1.802 hourly","$2.76 hourly","$1.705 hourly","$3.500000 hourly","$1.989000 hourly","$3.855 hourly","$2.717 hourly","$8.615 hourly","$7.594 hourly","$16.132 hourly","$15.158 hourly","$3.197 hourly","$2.048 hourly","$6.496 hourly","$5.347 hourly","$14.656 hourly","$13.507 hourly","unavailable","$0.270 hourly"
"P3 Eight Extra Large","p3.8xlarge","244.0 GiB","97 units","32 vCPUs","4","NVIDIA Tesla V100","64 GiB","7.0","0","3.031 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 Mbps","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$12.240000 hourly","$8.354000 hourly","$12.37 hourly","$8.484 hourly","$12.34 hourly","$8.387 hourly","$13.712000 hourly","$9.826000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.270 hourly"
"M6GD Metal","m6gd.metal","256.0 GiB","0 units","64 vCPUs","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","3800 GiB               (2 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","$2.892800 hourly","$1.822500 hourly","$3.0228 hourly","$1.9525 hourly","$3.0428 hourly","$1.8825 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C5AD Double Extra Large","c5ad.2xlarge","16.0 GiB","0 units","8 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","300 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3170.0 Mbps","396.0 Mbps","13300.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$0.344000 hourly","$0.217000 hourly","$0.474 hourly","$0.347 hourly","$0.494 hourly","$0.277 hourly","$0.712000 hourly","$0.585000 hourly","$0.847 hourly","$0.72 hourly","$1.672 hourly","$1.545 hourly","$3.712 hourly","$3.585 hourly","$0.479 hourly","$0.352 hourly","$1.304 hourly","$1.177 hourly","$3.344 hourly","$3.217 hourly","0","unavailable"
"M2 High Memory Extra Large","m2.xlarge","17.1 GiB","6.5 units","2 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon Family","unknown","unknown","unknown","unknown","unknown","420 GiB               HDD","No","N/A","64-bit","Moderate","N/A","0 Mbps","0 IOPS","No","60","4","No","No","No","No","PV","Yes","$0.245000 hourly","$0.111000 hourly","$0.305 hourly","$0.171 hourly","$0.345 hourly","$0.147 hourly","$0.345000 hourly","$0.249000 hourly","$0.445 hourly","$0.323 hourly","$1.084 hourly","$0.728 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.062 hourly"
"C1 High-CPU Medium","c1.medium","1.7 GiB","5 units","2 vCPUs","0","None","0 GiB","0","0","2.5 units","Intel Xeon Family","unknown","unknown","unknown","unknown","unknown","350 GiB               HDD               + 900MB swap","No","N/A","32/64-bit","Moderate","N/A","0 Mbps","0 IOPS","No","12","2","No","No","No","No","PV","Yes","$0.130000 hourly","$0.091000 hourly","$0.19 hourly","$0.151 hourly","$0.23 hourly","$0.127 hourly","$0.210000 hourly","$0.179000 hourly","$0.31 hourly","$0.215 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.030 hourly"
"R6GD Metal","r6gd.metal","512.0 GiB","0 units","64 vCPUs","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","3800 GiB               (2 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","$3.686400 hourly","$2.322400 hourly","$3.8164 hourly","$2.4524 hourly","$3.8364 hourly","$2.3824 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"M6G Eight Extra Large","m6g.8xlarge","128.0 GiB","0 units","32 vCPUs","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","12 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$1.232000 hourly","$0.772800 hourly","$1.362 hourly","$0.9028 hourly","$1.382 hourly","$0.8328 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"Cluster Compute Eight Extra Large","cc2.8xlarge","60.5 GiB","88 units","32 vCPUs","0","None","0 GiB","0","0","2.75 units","Intel Xeon E5-2670","2.6 GHz","unknown","unknown","unknown","unknown","3360 GiB               (4 * 840 GiB HDD)","No","N/A","64-bit","10 Gigabit","N/A","0 Mbps","0 IOPS","No","240","8","No","No","No","No","HVM","Yes","$2.000000 hourly","unavailable","$2.13 hourly","unavailable","$2.1 hourly","unavailable","$2.570000 hourly","unavailable","$2.775 hourly","unavailable","$4.41 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.270 hourly"
"C5AD 16xlarge","c5ad.16xlarge","128.0 GiB","0 units","64 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","2400 GiB               (2 * 1200 GiB NVMe SSD)","Yes","Yes","64-bit","20 Gigabit","6300.0 Mbps","788.0 Mbps","26700.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","$2.752000 hourly","$1.734000 hourly","$2.882 hourly","$1.864 hourly","$2.902 hourly","$1.794 hourly","$5.696000 hourly","$4.678000 hourly","$6.778 hourly","$5.759 hourly","$13.376 hourly","$12.358 hourly","$29.696 hourly","$28.678 hourly","$3.834 hourly","$2.815 hourly","$10.432 hourly","$9.414 hourly","$26.752 hourly","$25.734 hourly","0","unavailable"
"T3A Double Extra Large","t3a.2xlarge","32.0 GiB","Base performance:                 320%","8 vCPUs                                                   for a                 9h 36m                 burst","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","2780.0 Mbps","347.5 Mbps","15700.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$0.300800 hourly","$0.188600 hourly","$0.4308 hourly","$0.3186 hourly","$0.4508 hourly","$0.2486 hourly","$0.448000 hourly","$0.335800 hourly","$0.5832 hourly","$0.471 hourly","$1.408 hourly","$1.2958 hourly","$3.448 hourly","$3.3358 hourly","$0.436 hourly","$0.3238 hourly","$1.2608 hourly","$1.1486 hourly","$3.3008 hourly","$3.1886 hourly","0","unavailable"
"C1 High-CPU Extra Large","c1.xlarge","7.0 GiB","20 units","8 vCPUs","0","None","0 GiB","0","0","2.5 units","Intel Xeon Family","unknown","unknown","unknown","unknown","unknown","1680 GiB               (4 * 420 GiB HDD)","No","N/A","64-bit","High","1000.0 Mbps","125.0 Mbps","8000.0 IOPS","No","60","4","No","No","No","No","PV","Yes","$0.520000 hourly","$0.364000 hourly","$0.65 hourly","$0.494 hourly","$0.62 hourly","$0.4 hourly","$0.840000 hourly","$0.719000 hourly","$1.16 hourly","$0.793 hourly","$2.124 hourly","$1.537 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.120 hourly"
"C5AD 12xlarge","c5ad.12xlarge","96.0 GiB","0 units","48 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","1800 GiB               (2 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","12 Gigabit","4750.0 Mbps","594.0 Mbps","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$2.064000 hourly","$1.300000 hourly","$2.194 hourly","$1.43 hourly","$2.214 hourly","$1.36 hourly","$4.272000 hourly","$3.508000 hourly","$5.083 hourly","$4.32 hourly","$10.032 hourly","$9.268 hourly","$22.272 hourly","$21.508 hourly","$2.875 hourly","$2.112 hourly","$7.824 hourly","$7.06 hourly","$20.064 hourly","$19.3 hourly","0","unavailable"
"C5A Large","c5a.large","4.0 GiB","0 units","2 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3170.0 Mbps","396.0 Mbps","13300.0 IOPS","Yes","30","3","Yes","Yes","Yes","No","Unknown","No","$0.077000 hourly","$0.049000 hourly","$0.137 hourly","$0.109 hourly","$0.14 hourly","$0.074 hourly","$0.169000 hourly","$0.141000 hourly","$0.237 hourly","$0.208 hourly","$0.649 hourly","$0.621 hourly","unavailable","unavailable","$0.145 hourly","$0.116 hourly","$0.557 hourly","$0.529 hourly","unavailable","unavailable","0","unavailable"
"C6G Medium","c6g.medium","2.0 GiB","0 units","1 vCPUs","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","8","2","Yes","Yes","Yes","No","Unknown","No","$0.034000 hourly","$0.021400 hourly","$0.094 hourly","$0.0814 hourly","$0.065 hourly","$0.0344 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"M2 High Memory Double Extra Large","m2.2xlarge","34.2 GiB","13 units","4 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon Family","unknown","unknown","unknown","unknown","unknown","850 GiB               HDD","No","N/A","64-bit","Moderate","500.0 Mbps","62.5 Mbps","4000.0 IOPS","No","120","4","No","No","No","No","PV","Yes","$0.490000 hourly","$0.222000 hourly","$0.55 hourly","$0.282 hourly","$0.59 hourly","$0.258 hourly","$0.690000 hourly","$0.496000 hourly","$0.85 hourly","$0.622 hourly","$1.489 hourly","$0.944 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.123 hourly"
"R5AD Quadruple Extra Large","r5ad.4xlarge","128.0 GiB","0 units","16 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","600 GiB               (2 * 300 GiB NVMe SSD)","Yes","Yes","64-bit","Up to 10 Gigabit","2880.0 Mbps","360.0 Mbps","16000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$1.048000 hourly","$0.660000 hourly","$1.178 hourly","$0.79 hourly","$1.198 hourly","$0.72 hourly","$1.784000 hourly","$1.396000 hourly","$2.054 hourly","$1.667 hourly","$3.704 hourly","$3.316 hourly","$7.784 hourly","$7.396 hourly","$1.318 hourly","$0.931 hourly","$2.968 hourly","$2.58 hourly","$7.048 hourly","$6.66 hourly","0","unavailable"
"C6GD Eight Extra Large","c6gd.8xlarge","64.0 GiB","0 units","32 vCPUs","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","1900 GiB               NVMe SSD","Yes","Yes","64-bit","12 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$1.228800 hourly","$0.774100 hourly","$1.3588 hourly","$0.9041 hourly","$1.3788 hourly","$0.8341 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T3A Nano","t3a.nano","0.5 GiB","Base performance:                 10%","2 vCPUs                                                   for a                 1h 12m                 burst","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","2085.0 Mbps","260.57 Mbps","11800.0 IOPS","Yes","4","2","Yes","Yes","Yes","No","Unknown","No","$0.004700 hourly","$0.002900 hourly","unavailable","unavailable","$0.0047 hourly","$0.0069 hourly","$0.009300 hourly","$0.007500 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"M5N Metal","m5n.metal","384.0 GiB","0 units","96 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","100 Gigabit","N/A","0 Mbps","0 IOPS","No","N/A","N/A","No","Yes","Yes","No","Unknown","No","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"C6GD 12xlarge","c6gd.12xlarge","96.0 GiB","0 units","48 vCPUs","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","2850 GiB               (2 * 1425 GiB NVMe SSD)","Yes","Yes","64-bit","20 Gigabit","14250.0 Mbps","1781.25 Mbps","50000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$1.843200 hourly","$1.161200 hourly","$1.9732 hourly","$1.2912 hourly","$1.9932 hourly","$1.2212 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
