"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"M5AD 24xlarge","m5ad.24xlarge","384.0 GiB","0 units","96 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","3600 GiB               (4 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","20 Gigabit","13570.0 Mbps","1696.25 Mbps","60000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","$4.944000 hourly","$3.115000 hourly","$5.074 hourly","$3.245 hourly","$5.094 hourly","$3.175 hourly","$9.360000 hourly","$7.531000 hourly","$10.982 hourly","$9.153 hourly","$20.88 hourly","$19.051 hourly","$45.36 hourly","$43.531 hourly","$6.566 hourly","$4.737 hourly","$16.464 hourly","$14.635 hourly","$40.944 hourly","$39.115 hourly","0","unavailable"
"C6G Extra Large","c6g.xlarge","8.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$0.136000 hourly","$0.085700 hourly","$0.196 hourly","$0.1457 hourly","$0.261 hourly","$0.1357 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"M6G Metal","m6g.metal","256.0 GiB","0 units","64 vCPUs","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","25 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","$2.464000 hourly","$1.545600 hourly","$2.594 hourly","$1.6756 hourly","$2.614 hourly","$1.6056 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"F1 Quadruple Extra Large","f1.4xlarge","244.0 GiB","58 units","16 vCPUs","0","None","0 GiB","0","2","3.625 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","940 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 Mbps","44000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","No","$3.300000 hourly","$2.231000 hourly","$3.43 hourly","$2.361 hourly","$3.4 hourly","$2.264 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C5A 24xlarge","c5a.24xlarge","192.0 GiB","0 units","96 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","20 Gigabit","9500.0 Mbps","1188.0 Mbps","40000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","$3.696000 hourly","$2.328000 hourly","$3.826 hourly","$2.458 hourly","$3.846 hourly","$2.388 hourly","$8.112000 hourly","$6.744000 hourly","$9.734 hourly","$8.367 hourly","$19.632 hourly","$18.264 hourly","$44.112 hourly","$42.744 hourly","$5.318 hourly","$3.951 hourly","$15.216 hourly","$13.848 hourly","$39.696 hourly","$38.328 hourly","0","unavailable"
"C5A Quadruple Extra Large","c5a.4xlarge","32.0 GiB","0 units","16 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3170.0 Mbps","396.0 Mbps","13300.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$0.616000 hourly","$0.388000 hourly","$0.746 hourly","$0.518 hourly","$0.766 hourly","$0.448 hourly","$1.352000 hourly","$1.124000 hourly","$1.622 hourly","$1.394 hourly","$3.272 hourly","$3.044 hourly","$7.352 hourly","$7.124 hourly","$0.886 hourly","$0.658 hourly","$2.536 hourly","$2.308 hourly","$6.616 hourly","$6.388 hourly","0","unavailable"
"R5A 12xlarge","r5a.12xlarge","384.0 GiB","0 units","48 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","6780.0 Mbps","847.5 Mbps","30000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","Yes","$2.712000 hourly","$1.709000 hourly","$2.842 hourly","$1.839 hourly","$2.862 hourly","$1.769 hourly","$4.920000 hourly","$3.917000 hourly","$5.731 hourly","$4.728 hourly","$10.68 hourly","$9.677 hourly","$22.92 hourly","$21.917 hourly","$3.523 hourly","$2.52 hourly","$8.472 hourly","$7.469 hourly","$20.712 hourly","$19.709 hourly","0","$0.270 hourly"
"U-12TB1 Metal","u-12tb1.metal","12288.0 GiB","0 units","448 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Scalable (Skylake)","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","25 Gigabit","38000.0 Mbps","4750.0 Mbps","160000.0 IOPS","No","150","5","No","Yes","Yes","No","Unknown","No","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R5AD 24xlarge","r5ad.24xlarge","768.0 GiB","0 units","96 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","3600 GiB               (4 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","20 Gigabit","13570.0 Mbps","1696.25 Mbps","60000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","$6.288000 hourly","$3.961000 hourly","$6.418 hourly","$4.091 hourly","$6.438 hourly","$4.021 hourly","$10.704000 hourly","$8.377000 hourly","$12.326 hourly","$10 hourly","$22.224 hourly","$19.897 hourly","$46.704 hourly","$44.377 hourly","$7.91 hourly","$5.584 hourly","$17.808 hourly","$15.481 hourly","$42.288 hourly","$39.961 hourly","0","unavailable"
"C5AD Quadruple Extra Large","c5ad.4xlarge","32.0 GiB","0 units","16 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","600 GiB               (2 * 300 GiB NVMe SSD)","Yes","Yes","64-bit","Up to 10 Gigabit","3170.0 Mbps","396.0 Mbps","13300.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$0.688000 hourly","$0.433000 hourly","$0.818 hourly","$0.563 hourly","$0.838 hourly","$0.493 hourly","$1.424000 hourly","$1.169000 hourly","$1.694 hourly","$1.44 hourly","$3.344 hourly","$3.089 hourly","$7.424 hourly","$7.169 hourly","$0.958 hourly","$0.704 hourly","$2.608 hourly","$2.353 hourly","$6.688 hourly","$6.433 hourly","0","unavailable"
